source_id,title,publication_date,source_type,publisher,author,speaker,original_url,official_url,fund_name,fund_code,reporting_period,primary_source,manager_signed,relevant_excerpt,summary,topic_tags,retrieval_date,verification_status,copyright_note,local_file,content_checksum
JZC-2022-INTERVIEW-001,财通基金金梓才：永远把行业的周期性放在投资最重要的位置,2022-03-14,authoritative_media_interview,上海证券报,待核验,金梓才,http://paper.cnstock.com/html/2022-03/14/content_1578642.htm,http://paper.cnstock.com/html/2022-03/14/content_1578642.htm,待核验,,,False,not_applicable,“永远把行业的周期性放在投资最重要的位置。”（目前仅核验为原媒体标题，正文和上下文待复核）,上海证券报对金梓才的采访候选，标题直接涉及行业周期在其投资中的优先级。,行业景气|景气拐点|行业切换|风险控制,2026-06-21,metadata_only,仅记录标题级短摘录；媒体正文版权归原权利人。,,
JZC-2022-INTERVIEW-002,财通基金金梓才：养殖行业价格拐点越发临近,2022-04-21,authoritative_media_interview,中国证券报·中证网,待核验,金梓才,https://www.cs.com.cn/tzjj/jjks/202204/t20220421_6262389.html,https://www.cs.com.cn/tzjj/jjks/202204/t20220421_6262389.html,待核验,,,False,not_applicable,“养殖行业价格拐点越发临近。”（目前仅核验为原媒体标题，正文待复核）,中证网采访候选，适合检验其如何识别行业价格和景气拐点。,景气拐点|行业景气|盈利弹性,2026-06-21,metadata_only,仅记录标题级短摘录；媒体正文版权归原权利人。,,
JZC-2022-INTERVIEW-003,财通基金金梓才：看好A股市场长线投资机会,2022-04-25,authoritative_media_interview,中国证券报·中证网,待核验,金梓才,https://www.cs.com.cn/tzjj/jjks/202204/t20220425_6263802.html,https://www.cs.com.cn/tzjj/jjks/202204/t20220425_6263802.html,待核验,,,False,not_applicable,“看好A股市场长线投资机会。”（目前仅核验为原媒体标题，正文待复核）,中证网采访候选，用于补充2022年市场回撤阶段的风险与长期判断。,风险控制|市场判断|预期差,2026-06-21,metadata_only,仅记录标题级短摘录；媒体正文版权归原权利人。,,
JZC-2022-INTERVIEW-004,对话金梓才｜行业景气+个股空间+动态优化 三位一体寻找好公司,2022-08-02,media_interview_reprint,新浪财经（转载自证券时报2022年中国基金业峰会对话）,詹晨、赵梦桥（证券时报记者，待正文确认）,金梓才,http://finance.sina.com.cn/money/fund/jjzl/2022-08-02/doc-imizmscv4569220.shtml,https://stcn.com/article/detail/787283.html（待正文确认）,未提及具体基金,,,False,not_applicable,WebSearch返回疑似金梓才直接引语：“立足于产业基本面的景气度驱动……买在行业β向上的拐点”“挖掘股价空间大的个股”“拥抱变化、动态优化，紧密跟踪盈利趋势、估值水平和景气度变化”（未经正文核验，不可等同于原文）,WebSearch发现该文源自证券时报2022年中国基金业峰会对话（记者詹晨、赵梦桥，主持人张夏）。搜索片段显示金梓才以三层次框架描述投资方法，疑似本人原话包含“立足于产业基本面的景气度驱动”“挖掘股价空间大的个股”“拥抱变化、动态优化”等表述。另有《财经》读数一帜专访（作者黄慧玲，2022-05-04采访）中金梓才疑似使用“行业景气+个股空间+动态优化三位一体”表述。但三次WebFetch正文访问（新浪、证券时报、蚂蚁财富）均被阻止，搜索片段不能替代正文核验。保持pending。,行业景气|个股空间|动态优化|产业景气驱动|全天候框架,2026-06-21,pending,正文访问受阻；仅基于搜索片段建立核验指引；不得将搜索摘要当作原文引用。,references/corpus/files/JZC-2022-INTERVIEW-004.md,14bcdbc003a2be330ea86d032988c6f3b55dec8f67c9b0d4f97a28f32e0753a3
JZC-2023-INTERVIEW-001,财通基金金梓才：积极拥抱AI 新一轮产业周期拉开帷幕,2023-04-17,authoritative_media_interview,中国证券报·中证网,待核验,金梓才,https://www.cs.com.cn/tzjj/jjdt/202304/t20230417_6337552.html,https://www.cs.com.cn/tzjj/jjdt/202304/t20230417_6337552.html,待核验,,,False,not_applicable,“积极拥抱AI，新一轮产业周期拉开帷幕。”（目前仅核验为原媒体标题，正文待复核）,中证网采访候选，可用于观察从消费/养殖到AI产业周期的行业切换。,行业切换|产业周期|行业景气|AI,2026-06-21,metadata_only,仅记录标题级短摘录；媒体正文版权归原权利人。,,
JZC-2025-INTERVIEW-001,财通基金金梓才：锚定想象空间大的行业,2025-02-05,authoritative_media_interview,中国证券报·中证网,待核验,金梓才,https://www.cs.com.cn/tzjj/jjks/202502/t20250205_6472313.html,https://www.cs.com.cn/tzjj/jjks/202502/t20250205_6472313.html,待核验,,,False,not_applicable,“锚定想象空间大的行业。”（目前仅核验为原媒体标题，正文待复核）,中证网采访候选，可与2022年的“个股空间”表述比较其行业与个股选择是否变化。,行业景气|个股空间|跨行业比较|动态估值,2026-06-21,metadata_only,仅记录标题级短摘录；媒体正文版权归原权利人。,,
JZC-2025-Q2-REPORT-001,财通价值动量混合型证券投资基金2025年第2季度报告,2025-07-19,fund_quarterly_report,财通基金管理有限公司,财通基金管理有限公司,基金管理人报告,https://www.ctfund.com/file/new/20250718/1946145602819624962.pdf,https://www.ctfund.com/file/new/20250718/1946145602819624962.pdf,财通价值动量混合型证券投资基金,720001/021523,2025Q2,True,unclear,,官方API已核验标题、发布日期与PDF地址；尚未下载PDF和核验基金经理报告段落。,法定报告|组合持仓|行业切换,2026-06-21,metadata_only,法定披露文件；仅计划提取研究所需段落并保留页码。,,
JZC-2025-H1-REPORT-001,财通价值动量混合型证券投资基金2025年中期报告,2025-08-30,fund_interim_report,财通基金管理有限公司,财通基金管理有限公司,基金管理人报告,https://www.ctfund.com/file/new/20250829/1961440834092093441.pdf,https://www.ctfund.com/file/new/20250829/1961440834092093441.pdf,财通价值动量混合型证券投资基金,720001/021523,2025H1,True,unclear,,官方API已核验标题、发布日期与PDF地址；正文、页码、署名和观点段落待核验。,法定报告|组合持仓|投资复盘,2026-06-21,metadata_only,法定披露文件；仅计划提取研究所需段落并保留页码。,,
JZC-2025-Q3-REPORT-001,财通价值动量混合型证券投资基金2025年第3季度报告,2025-10-28,fund_quarterly_report,财通基金管理有限公司,财通基金管理有限公司,基金管理人报告,https://www.ctfund.com/file/new/20251027/1982805774451167233.pdf,https://www.ctfund.com/file/new/20251027/1982805774451167233.pdf,财通价值动量混合型证券投资基金,720001/021523,2025Q3,True,unclear,,官方API已核验标题、发布日期与PDF地址；正文、页码、署名和观点段落待核验。,法定报告|组合持仓|动态优化,2026-06-21,metadata_only,法定披露文件；仅计划提取研究所需段落并保留页码。,,
JZC-2025-Q4-REPORT-001,财通价值动量混合型证券投资基金2025年第4季度报告,2026-01-22,fund_quarterly_report,财通基金管理有限公司,财通基金管理有限公司,基金管理人报告,https://www.ctfund.com/file/new/20260121/2013962429595209730.pdf,https://www.ctfund.com/file/new/20260121/2013962429595209730.pdf,财通价值动量混合型证券投资基金,720001/021523,2025Q4,True,unclear,,官方API已核验标题、发布日期与PDF地址；正文、页码、署名和观点段落待核验。,法定报告|组合持仓|年度复盘,2026-06-21,metadata_only,法定披露文件；仅计划提取研究所需段落并保留页码。,,
